x,y,radial distance,birth gen,mutation
-4.49803,0.894539,4.58611,1.0,0.0
-0.193733,-4.90656,4.91038,1.0,0.0
1.16765,0.915076,1.4835,1.0,0.0
1.44009,0.919694,1.70871,1.0,0.0
-0.428774,-4.22328,4.24499,1.0,0.0
0.632655,-0.873809,1.07879,1.0,0.0
1.56969,2.30797,2.79117,1.0,0.0
-1.58928,-2.01662,2.5676,1.0,0.0
-0.395982,2.62403,2.65374,1.0,0.0
-0.848463,-2.00907,2.18088,1.0,0.0
2.81179,0.559638,2.86694,1.0,0.0
-2.07466,-1.43604,2.52318,1.0,0.0
0.417854,0.424137,0.595394,1.0,0.0
1.06212,-3.25193,3.42098,1.0,0.0
2.51896,-0.796682,2.64194,1.0,0.0
-0.081868,-0.023896,0.0852842,1.0,0.0
2.94256,-2.17324,3.65809,1.0,0.0
-1.87951,-1.23065,2.24657,1.0,0.0
0.335914,-0.0790516,0.34509,1.0,0.0
0.731808,-0.941761,1.19267,1.0,0.0
-0.88505,-3.09701,3.22099,1.0,0.0
-1.72514,-1.17408,2.08676,1.0,0.0
0.226298,-1.21858,1.23941,1.0,0.0
1.30771,1.06395,1.68585,1.0,0.0
-4.03246,0.856809,4.12248,1.0,0.0
-0.0896743,-4.06767,4.06865,1.0,0.0
-3.59285,1.83492,4.03429,1.0,0.0
0.18009,-0.0970151,0.204559,1.0,0.0
1.2147,2.38692,2.67822,1.0,0.0
-2.0598,-1.16712,2.36748,1.0,0.0
2.94907,-1.7213,3.41466,1.0,0.0
0.0571958,0.490024,0.493351,1.0,0.0
1.99172,4.30176,4.74047,1.0,0.0
-0.459635,-1.98577,2.03827,1.0,0.0
0.132166,-2.73881,2.742,1.0,0.0
-0.224993,-1.40228,1.42022,1.0,0.0
-1.87068,2.21569,2.89979,1.0,0.0
-1.80906,1.33116,2.24604,1.0,0.0
0.967326,2.81478,2.97635,1.0,0.0
2.34695,4.89731,5.43063,1.0,0.0
-0.878811,-1.17068,1.46383,1.0,0.0
-0.842698,1.42365,1.65437,1.0,0.0
0.289367,2.10685,2.12663,1.0,0.0
-1.25747,5.08891,5.24197,1.0,0.0
4.24308,-1.72657,4.58091,1.0,0.0
1.04474,1.87188,2.14369,1.0,0.0
1.39342,-0.78218,1.59794,1.0,0.0
-1.02723,0.017684,1.02738,1.0,0.0
0.451237,-0.709537,0.840867,1.0,0.0
2.08667,-2.50651,3.26141,1.0,0.0
1.04005,-0.956654,1.41311,1.0,0.0
-1.77672,-0.918713,2.0002,1.0,0.0
-1.58872,-1.95746,2.52105,1.0,0.0
1.44019,-0.876688,1.68604,1.0,0.0
-3.57054,1.58049,3.9047,1.0,0.0
0.075742,5.6821,5.6826,1.0,0.0
-1.78309,0.546667,1.86501,1.0,0.0
-3.32882,-0.852284,3.43619,1.0,0.0
0.161964,-0.881844,0.896594,1.0,0.0
